School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
KIRKLAND SDA SCHOOL,"5320 108TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,N,K-8,0,,,,,,,,,,,,,"5320 108TH AVE NE
KIRKLAND
(47.656586, -122.195246)"
MAKKAH ISLAMIC SCHOOL,"3613 S JUNEAU ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,P-8,0,,,,,,,,,,,,,"3613 S JUNEAU ST
SEATTLE
(47.5495424, -122.2866149)"
TWO RIVERS SCHOOL,"330 BALLARAT AVE N, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,7-12,98,71.4,18.4,0,17.3,1,0,16.3,14.3,17.3,16.3,17.3,17.3,"330 BALLARAT AVE N
NORTH BEND
(47.4961678, -121.7821132)"
BRYANT ELEMENTARY SCHOOL,"3311 NE 60 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,595,88.6,3.7,1.8,2.5,0.2,0,1.7,1.7,1.7,2.2,2.4,3,"3311 NE 60 ST
SEATTLE
(47.6711946, -122.2921117)"
THURGOOD MARSHALL ELEMENTARY,"2401 S IRVING ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,544,92.3,4,1.7,2.2,0,0.2,0.7,0.7,1.7,0.7,1.7,2.6,"2401 S IRVING ST
SEATTLE
(47.590961, -122.299264)"
MCGILVRA ELEMENTARY SCHOOL,"1617 38 AV E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,282,94,3.5,2.5,1.1,0,0,2.1,2.1,1.8,2.1,2.1,2.5,"1617 38 AV E
SEATTLE
(47.633989, -122.28482)"
DARTMOOR SCHOOL--ISSAQUAH,"22500 SE 64TH PL, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,1-12,6,100,0,0,0,0,0,0,0,0,0,0,0,"22500 SE 64TH PL
ISSAQUAH
(47.5441035, -122.0403106)"
CEDARHURST ELEMENTARY,"611 S 132ND ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,624,95.8,0.6,0,0.6,0,0,0.6,0.6,0.6,0,0.5,0.5,"611 S 132ND ST
BURIEN
(47.483981, -122.324953)"
RENTON CHRISTIAN SCHOOL,"15717 152ND AVE SE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,P-8,429,88.3,11.7,0.2,11.2,0,0.2,7.2,7.2,7.9,7,8.4,9.1,"15717 152ND AVE SE
RENTON
(47.4622999, -122.137986)"
MADRONA ELEMENTARY,"20301 32ND AVENUE SOUTH, SEATAC, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,698,81.5,0.3,0.3,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,"20301 32ND AVENUE SOUTH
SEATAC
(47.4203342, -122.2934237)"
LAWTON ELEMENTARY SCHOOL,"4000 27 AV W, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,442,89.6,5.7,2.3,3.4,0.2,0,2.5,2.5,3.2,2.9,3.4,4.3,"4000 27 AV W
SEATTLE
(47.6568589, -122.3905821)"
THUNDER MOUNTAIN MIDDLE SCHOOL,"42018 264TH AVENUE SE, ENUMCLAW, WA",2016-17,ENUMCLAW SCHOOL DISTRICT,Y,6-8,465,88.2,9.2,2.8,6.7,0.2,0,4.5,4.1,3.9,3.9,5.4,6,"42018 264TH AVENUE SE
ENUMCLAW
(47.2230259, -121.9874956)"
HILLTOP ELEMENTARY,"12250 24TH AVE S, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,608,94.4,2.6,2.1,0.5,0,0,0,0,0.3,0,0.2,2.1,"12250 24TH AVE S
SEATTLE
(47.4927343, -122.3009758)"
SEATTLE URBAN ACADEMY,"3800 S OTHELLO ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,34,0,0,0,0,0,0,0,0,0,0,0,0,"3800 S OTHELLO ST
SEATTLE
(47.538164, -122.2840195)"
RAINIER CHRISTIAN SCHOOLS-MAPLE VALLEY ELEMENTARY,"16700 174TH AVE SE, RENTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,P-6,101,49.5,8.9,2,6.9,0,0,9.9,9.9,10.9,9.9,11.9,9.9,"16700 174TH AVE SE
RENTON
(47.4529049, -122.1116145)"
HARBOR SCHOOL,"15920 VASHON HWY SW, VASHON, WA",2016-17,VASHON ISLAND SCHOOL DISTRICT,Y,K-8,81,32.1,22.2,1.2,21,0,0,9.9,13.6,13.6,14.8,19.8,14.8,"15920 VASHON HWY SW
VASHON
(47.462493, -122.458883)"
ACADEMIC INSTITUTE,"13400 NE 20TH, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,7-12,25,100,0,0,0,0,0,0,0,0,0,0,0,"13400 NE 20TH
BELLEVUE
(47.6284511, -122.1608553)"
SPIRITRIDGE ELEMENTARY SCHOOL,"301 151ST PLACE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,679,91.5,5.4,1.5,4.4,0,0,2.2,2.2,2.8,2.9,2.7,3.8,"301 151ST PLACE NE
BELLEVUE
(47.6122616, -122.1386016)"
WEST SEATTLE ELEMENTARY SCHOOL,"6760 34 AV SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,450,90,5.3,1.6,2.9,1.8,0.2,2.7,2.7,4.9,2.4,2.7,4.4,"6760 34 AV SW
SEATTLE
(47.541578, -122.374133)"
CASCADE VIEW ELEMENTARY SCHOOL,"34816 SE RIDGE STREET, SNOQUALMIE, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,K -5,623,94.2,3.7,0.3,3.2,0.2,0,2.4,2.4,2.4,2.6,3,2.6,"34816 SE RIDGE STREET
SNOQUALMIE
(47.5318935, -121.8728098)"
RENTON PREPARATORY CHRISTIAN SCHOOL,"200 MILL AVE S, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,3-10,135,100,0,0,0,0,0,0,0,0,0,0,0,"200 MILL AVE S
RENTON
(47.481221, -122.201787)"
MAPLE HILLS ELEMENTARY,"15644 204TH AVE SE, RENTON, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,K -5,425,92.7,6.4,0.9,5.4,0,0,4.2,4.2,4.2,4,4.9,5.4,"15644 204TH AVE SE
RENTON
(47.4623782, -122.0665507)"
NORTH BEND ELEMENTARY SCHOOL,"400 E THIRD ST, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,K -5,463,91.4,6.3,0.4,5.6,0.2,0,3.7,3.5,4.8,4.1,4.5,4.8,"400 E THIRD ST
NORTH BEND
(47.4939365, -121.7792348)"
EMERALD HEIGHTS ACADEMY,"3850 - 156TH AVE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-8,42,61.9,33.3,0,33.3,0,0,28.6,28.6,26.2,26.2,28.6,28.6,"3850 - 156TH AVE SE
BELLEVUE
(47.5757526, -122.1319016)"
SECONDARY LEARNING CENTER,"7800 S 132ND ST, SEATTLE, WA",2016-17,RENTON SCHOOL DISTRICT,Y,6-12,312,84.9,3.8,1.3,2.6,0,0,1.6,1.3,1.6,0.3,0.6,1,"7800 S 132ND ST
SEATTLE
(47.4854093, -122.2364939)"
ST. THERESE SCHOOL,"900 35TH AVE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,124,83.9,0.8,0.8,0,0,0,0,0,0,0,0.8,0,"900 35TH AVE
SEATTLE
(47.611134, -122.2880296)"
CHOICE ACADEMY,"18367 8TH AVE S, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,7-12,164,93.9,3,0.6,2.4,0,0,2.4,0,2.4,0,2.4,2.4,"18367 8TH AVE S
SEATTLE
(47.4379796, -122.3257128)"
WOODINVILLE MONTESSORI SCHOOL,"19102 N CREEK PARKWAY, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,P-9,226,96.5,3.5,0,3.5,0,0,0.9,0.9,1.8,2.7,1.8,2.7,"19102 N CREEK PARKWAY
BOTHELL
(47.7665934, -122.1833914)"
GIDDENS SCHOOL,"620 20TH AVE S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,P-5,0,,,,,,,,,,,,,"620 20TH AVE S
SEATTLE
(47.5969991, -122.3060495)"
MILL CREEK MIDDLE SCHOOL,"620 CENTRAL AVE N, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,7-8,830,90,1.8,0.8,1,0,0,0.5,0.1,0.5,0.8,1.1,0.6,"620 CENTRAL AVE N
KENT
(47.3854929, -122.2299109)"
KIRK ELEMENTARY,"1312 6TH STREET, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,555,88.8,5.8,3.1,2.9,0,0,2.2,2.2,3.1,3.8,3.6,3.4,"1312 6TH STREET
KIRKLAND
(47.6860412, -122.1958474)"
ADELAIDE ELEMENTARY SCHOOL,"1635 SW 304TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,397,90.9,4.8,0,4.8,0,0,3.5,3.5,3.5,3.5,3.3,4.3,"1635 SW 304TH ST
FEDERAL WAY
(47.3296007, -122.3557382)"
PARKSIDE ELEMENTARY,"2104 S 247TH ST, DES MOINES, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,K -6,649,94.9,0.8,0.6,0.2,0,0,0.8,0.8,0.8,0.8,0.8,0.8,"2104 S 247TH ST
DES MOINES
(47.3810263, -122.3059722)"
CLARK ELEMENTARY,"500 2ND AVE SE, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,K -5,761,94.6,4.7,0.8,3.4,0.5,0,2.5,2.8,3,2.8,3,3.9,"500 2ND AVE SE
ISSAQUAH
(47.5254675, -122.0323734)"
HILLSIDE ACADEMY,"15520 MAIN ST NE, DUVALL, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,P-6,57,82.5,17.5,5.3,12.3,0,0,15.8,7,14,15.8,15.8,17.5,"15520 MAIN ST NE
DUVALL
(47.7402605, -121.9859762)"
MERIDIAN MIDDLE SCHOOL,"23480 120TH AVE SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,7-8,602,94.9,2.2,0.7,1,0.7,0,1.5,1.5,1.3,1.5,1,1.3,"23480 120TH AVE SE
KENT
(47.391462, -122.1813749)"
PACIFIC CASCADE MIDDLE SCHOOL,"24635 SE ISSAQUAH FALL CITY ROAD, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,6-8,995,95.4,3.6,0.8,2.7,0.2,0,1.2,1,1,0.8,1.6,2,"24635 SE ISSAQUAH FALL CITY ROAD
ISSAQUAH
(47.5587939, -122.010924)"
VASHON ISLAND HIGH SCHOOL,"20120 VASHON HWY SW, VASHON, WA",2016-17,VASHON ISLAND SCHOOL DISTRICT,Y,9-12,582,74.1,16.3,0.3,15.5,0.3,0.2,9.3,6.7,8.2,8.6,13.1,9.3,"20120 VASHON HWY SW
VASHON
(47.4227449, -122.4573684)"
SEATTLE GIRLS SCHOOL,"2706 S JACKSON ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,5-8,0,,,,,,,,,,,,,"2706 S JACKSON ST
SEATTLE
(47.599412, -122.296929)"
THE CENTER SCHOOL,"305 HARRISON ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,236,66.1,21.6,14.8,12.3,0.8,0,8.1,8.1,9.3,6.4,9.7,18.6,"305 HARRISON ST
SEATTLE
(47.6207787, -122.3504009)"
INTERLAKE SENIOR HIGH SCHOOL,"16245 NE 24TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,9-12,1651,80.6,12.2,4.8,8.1,0.1,0,3.3,3.3,2.2,2.1,2.2,9.4,"16245 NE 24TH STREET
BELLEVUE
(47.6289341, -122.1240412)"
WILDER ELEMENTARY,"22130 NE 133RD, WOODINVILLE, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,606,96.9,1.8,0.3,1.5,0,0,1.3,1.3,1.3,1.2,0.8,1.5,"22130 NE 133RD
WOODINVILLE
(47.7195783, -122.0412337)"
FOREST RIDGE SCHOOL OF SACRED HEART,"4800 139TH AVE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,5-12,343,100,0,0,0,0,0,0,0,0,0,0,0,"4800 139TH AVE SE
BELLEVUE
(47.558786, -122.155251)"
SUNRISE ELEMENTARY,"899 OSCEOLA AT 244TH AVE SE, ENUMCLAW, WA",2016-17,ENUMCLAW SCHOOL DISTRICT,Y,K -5,418,87.8,6,2.2,3.8,0.2,0.2,3.1,3.3,3.3,3.3,2.9,5.3,"899 OSCEOLA AT 244TH AVE SE
ENUMCLAW
(47.185869, -122.01651)"
ALKI ELEMENTARY SCHOOL,"3010 59 AV SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,386,87.8,8,2.8,6,0,0.3,2.6,2.6,3.6,3.4,5.2,6,"3010 59 AV SW
SEATTLE
(47.5773358, -122.4078267)"
MIRROR LAKE ELEMENTARY SCHOOL,"625 S 314TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,362,92.5,3.3,0.8,2.5,0,0,1.1,1.1,2.8,0,1.9,2.8,"625 S 314TH ST
FEDERAL WAY
(47.3198481, -122.3253725)"
MILLENNIUM ELEMENTARY SCHOOL,"11919 SE 270TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,599,91.8,4.7,0.7,4,0.2,0,4.2,4.2,3.8,3.8,3.2,4.2,"11919 SE 270TH ST
KENT
(47.3589852, -122.1808239)"
BLOSSOMING HILL MONTESSORI,"23855 SE 216TH ST, MAPLE VALLEY, WA",2016-17,TAHOMA SCHOOL DISTRICT,Y,P-6,38,89.5,10.5,0,10.5,0,0,10.5,10.5,10.5,10.5,10.5,10.5,"23855 SE 216TH ST
MAPLE VALLEY
(47.4079404, -122.0218838)"
SHOREWOOD HIGH SCHOOL,"17300 FREMONT AVENUE N, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,9-12,1611,91.3,7.6,1.4,6.6,0.1,0.1,3,2.5,4,3.1,4.3,3.2,"17300 FREMONT AVENUE N
SHORELINE
(47.7545221, -122.3493829)"
SOUND VIEW EDUCATION DBA STERLING WEST SEATTLE CAMPUS,"9205 3RD AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,3-12,17,100,0,0,0,0,0,0,0,0,0,0,0,"9205 3RD AVE SW
SEATTLE
(47.520646, -122.339239)"
DEARBORN PARK ELEMENTARY SCHOOL,"2820 S ORCAS ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,350,91.7,1.4,0.9,1.4,0,0,0.6,0.6,1.1,0.9,0.9,1.7,"2820 S ORCAS ST
SEATTLE
(47.552466, -122.295268)"
SANDBURG ELEMENTARY,"12801 - 84TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,452,92.7,6,1.1,4.6,0.4,0,2.7,2.7,4.2,4,4.9,5.1,"12801 - 84TH AVE NE
KIRKLAND
(47.7165516, -122.2307081)"
RAINIER VIEW ELEMENTARY SCHOOL,"3015 S 368TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,524,90.6,6.3,0.4,5.3,0.2,0.4,5.7,5.7,5.7,5.5,5.2,5.9,"3015 S 368TH ST
FEDERAL WAY
(47.2713757, -122.2940542)"
LINDBERGH SENIOR HIGH SCHOOL,"16426 128TH AVE SE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,9-12,1269,91.6,3.6,0.9,2.2,0.5,0.1,1.7,1.5,1.3,1.3,1.6,1.6,"16426 128TH AVE SE
RENTON
(47.4548441, -122.1685113)"
SKYKOMISH HIGH SCHOOL,"105 6TH ST N, SKYKOMISH, WA",2016-17,SKYKOMISH SCHOOL DISTRICT,Y,9-12,17,58.8,17.6,0,17.6,0,0,11.8,5.9,11.8,11.8,11.8,11.8,"105 6TH ST N
SKYKOMISH
(47.7093401, -121.3619079)"
EAGLE ROCK MULTIAGE SCHOOL,"29300 NE 150TH ST, DUVALL, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,K -5,66,89.4,6.1,1.5,4.5,0,0,4.5,4.5,4.5,4.5,4.5,6.1,"29300 NE 150TH ST
DUVALL
(47.7348972, -121.9491605)"
WESTHILL ELEMENTARY,"19515 88 AV NE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,505,91.9,5.5,1.2,4.2,0.2,0,3,3,3.4,3.4,4.2,4.4,"19515 88 AV NE
BOTHELL
(47.7701036, -122.2247701)"
EMERSON K-12 (FAMILY LEARNING CENTER),"10903 NE 53RD STREET, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -12,103,72.8,23.3,2.9,17.5,2.9,0,14.6,14.6,18.4,15.5,16.5,19.4,"10903 NE 53RD STREET
KIRKLAND
(47.6551131, -122.1950142)"
NEWPORT HEIGHTS ELEMENTARY,"5225 119TH AVE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,627,93.6,3.8,1.8,2.6,0,0,1.9,1.9,2.1,1.9,2.4,3.3,"5225 119TH AVE SE
BELLEVUE
(47.5555276, -122.1814011)"
EVERGREEN HEIGHTS ELEMENTARY,"5602 S 316TH ST, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,500,90.2,4.4,0.2,3.4,0.8,0,3.4,3.2,3.8,3.4,2,4,"5602 S 316TH ST
AUBURN
(47.319337, -122.263884)"
BELLEVUE MONTESSORI SCHOOL,"2411 112TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-5,59,94.9,5.1,1.7,3.4,0,0,5.1,5.1,5.1,5.1,5.1,5.1,"2411 112TH AVE NE
BELLEVUE
(47.6322132, -122.1914971)"
NORTHSHORE NETWORKS,"3330 MONTE VILLA PARKWAY, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -12,167,56.9,9.6,3,7.8,0,0,6.6,6.6,7.8,7.8,10.2,7.2,"3330 MONTE VILLA PARKWAY
BOTHELL
(47.7770699, -122.1898555)"
AUBURN ADVENTIST ACADEMY,"5000 AUBURN WAY S, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,9-12,235,94.5,5.5,0.4,4.3,0.9,0,5.5,5.5,5.5,5.5,5.5,5.5,"5000 AUBURN WAY S
AUBURN
(47.280088, -122.162583)"
JUANITA ELEMENTARY,"9635 NE 132ND, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,373,89,5.1,1.3,2.9,0.3,0.8,3.2,3.2,4.6,3.8,2.9,4,"9635 NE 132ND
KIRKLAND
(47.718405, -122.21115)"
KENTLAKE HIGH SCHOOL,"21401 SE 300TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,9-12,1507,86.8,4.3,0.6,3.4,0.3,0.1,2.2,2,1.7,1.5,1.9,2.4,"21401 SE 300TH ST
KENT
(47.3331292, -122.0537335)"
LAKE VIEW ELEMENTARY SCHOOL,"16401 SE 318TH ST, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,434,91.5,6.2,2.3,3.7,0.2,0,3.2,3.2,3.5,4.4,3.9,4.6,"16401 SE 318TH ST
AUBURN
(47.316743, -122.122323)"
ST. BRENDAN SCHOOL,"10049 NE 195TH ST, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,P-8,193,95.9,4.1,0.5,3.6,0,0,1.6,1.6,1,1.6,2.6,2.6,"10049 NE 195TH ST
BOTHELL
(47.768792, -122.2051473)"
OUR LADY OF GUADALUPE SCHOOL,"3401 SW MYRTLE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K+,214,56.1,0,0,0,0,0,0,0,0,0,0,0,"3401 SW MYRTLE ST
SEATTLE
(47.5387897, -122.3756505)"
BELLEVUE CHILDREN'S ACADEMY,"14600 NE 24TH ST, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,N,P-5,0,,,,,,,,,,,,,"14600 NE 24TH ST
BELLEVUE
(47.6321037, -122.1455571)"
AUBURN MOUNTAINVIEW HIGH SCHOOL,"28900 124TH AVE SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,9-12,1517,83.9,4.6,1.1,3.6,0.1,0.1,3,2.8,1.9,1.8,2,2.1,"28900 124TH AVE SE
AUBURN
(47.3420736, -122.1718127)"
VALHALLA ELEMENTARY SCHOOL,"27847 42ND AV S, AUBURN, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,598,93.1,4,1.3,2.2,0.5,0,3.5,3.5,3.7,3.8,3.5,3.8,"27847 42ND AV S
AUBURN
(47.3515447, -122.2824173)"
HOLY TRINITY LUTHERAN SCHOOL,"2021 S 260TH ST, DES MOINES, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,P-8,138,88.4,5.1,0,5.1,0,0,2.2,2.2,2.2,2.2,4.3,3.6,"2021 S 260TH ST
DES MOINES
(47.3684707, -122.3075916)"
MOORLANDS ELEMENTARY,"15115 84 AV NE, KENMORE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,794,93.8,5.4,1.9,3.5,0,0,2.4,2.4,2.9,2.9,3.5,3.7,"15115 84 AV NE
KENMORE
(47.7386617, -122.2310014)"
BK ACADEMY,"14224 BEL RED RD, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,N,PK-5,0,,,,,,,,,,,,,"14224 BEL RED RD
BELLEVUE
(47.625976, -122.152046)"
APOLLO ELEMENTARY,"15025 SE 117TH ST, RENTON, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,PK-5,675,93.9,4.7,1.5,3,0.3,0,2.4,2.4,2.7,2.4,2.8,3.1,"15025 SE 117TH ST
RENTON
(47.497397, -122.139053)"
ST. GEORGE SCHOOL,"5117 13TH AVE S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,221,99.5,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0.5,"5117 13TH AVE S
SEATTLE
(47.5559353, -122.3164289)"
EVERGREEN CHRISTIAN PRIVATE SCHOOL,"3405 S 336TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,K-7,85,37.6,28.2,0,27.1,1.2,0,28.2,28.2,28.2,28.2,28.2,28.2,"3405 S 336TH ST
FEDERAL WAY
(47.30008, -122.289196)"
MEDINA ELEMENTARY SCHOOL,"8001 NE 8TH ST, MEDINA, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,540,95.2,4.1,2,2.4,0,0,0.7,0.7,0.9,1.3,2.4,2.8,"8001 NE 8TH ST
MEDINA
(47.6166865, -122.2324249)"
SEAHURST ELEMENTARY SCHOOL,"14603 14TH AVE SW, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,K -6,555,95.9,0.7,0,0.5,0.2,0,0.4,0.4,0.7,0.5,0.7,0.7,"14603 14TH AVE SW
BURIEN
(47.4716001, -122.3542063)"
CHILD SCHOOL-NEW HEIGHTS SCHOOL AT CHILDREN'S INSTITUTE FOR LEARNING DIFFERENCES (CHILD),"4030 86TH AVE SE, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,P-12,41,85.4,7.3,4.9,0,2.4,0,7.3,7.3,7.3,7.3,7.3,7.3,"4030 86TH AVE SE
MERCER ISLAND
(47.5734618, -122.2233855)"
STEM,"400 228TH AVENUE NE, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,580,88.3,5,1,3.8,0.2,0,1.4,1,1.2,1.6,3.1,2.2,"400 228TH AVENUE NE
SAMMAMISH
(47.613601, -122.0317461)"
THE LITTLE SCHOOL,"2812 116TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-6,124,86.3,11.3,1.6,9.7,0,0,7.3,7.3,8.9,5.6,5.6,8.9,"2812 116TH AVE NE
BELLEVUE
(47.6363203, -122.1855949)"
CONCORD INTERNATIONAL SCHOOL,"723 S CONCORD ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,363,89.8,1.9,1.1,1.1,0,0,0.8,0.8,0.8,0.8,1.1,1.1,"723 S CONCORD ST
SEATTLE
(47.5235924, -122.3244432)"
LOYAL HEIGHTS ELEMENTARY SCHOOL,"2511 NW 80 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,415,92.3,6.3,2.7,4.3,0,0,1.7,1.7,1.9,2.4,3.4,4.1,"2511 NW 80 ST
SEATTLE
(47.6864369, -122.3891054)"
MARVISTA ELEMENTARY,"19800 MARINE VIEW DR SW, NORMANDY PARK, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,634,95.7,1.1,0.5,0.6,0,0,0.8,0.5,0.8,1.1,1.1,0.9,"19800 MARINE VIEW DR SW
NORMANDY PARK
(47.4250673, -122.3426898)"
FAMILY ACADEMY/ACADEMY NW,"14629 20TH AVE SW, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,K-12,99,82.8,17.2,0,17.2,0,0,17.2,17.2,17.2,17.2,17.2,17.2,"14629 20TH AVE SW
SEATTLE
(47.47046, -122.359253)"
SNO-KING ACADEMY,"19741 53RD AVE NE, LAKE FOREST PARK, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,3-12,11,81.8,18.2,0,18.2,0,0,18.2,18.2,18.2,18.2,18.2,18.2,"19741 53RD AVE NE
LAKE FOREST PARK
(47.772473, -122.274335)"
PUGET SOUND ADVENTIST ACADEMY,"5320 108TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,N,9-12,0,,,,,,,,,,,,,"5320 108TH AVE NE
KIRKLAND
(47.656586, -122.195246)"
EASTGATE ELEMENTARY SCHOOL,"4255 153RD AVENUE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,449,91.3,4.5,1.6,3.3,0,0,1.3,1.3,1.3,2.2,1.1,3.8,"4255 153RD AVENUE SE
BELLEVUE
(47.5698603, -122.1376453)"
SPRUCE STREET SCHOOL,"914 VIRGINIA ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-5,109,87.2,12.8,0.9,11.9,0,0,3.7,3.7,5.5,5.5,9.2,7.3,"914 VIRGINIA ST
SEATTLE
(47.616962, -122.335491)"
